,Meal Index,Age,Sex,Breakfast,Lunch/Snacks,One Dish Meal,Calories,CarbohydrateContent,FatContent,ProteinContent,FiberContent,Heuristic,90%? (Heuristic),Count
11,"[41491, 76897, 82386]",58,M,Bisquick Sausage Quiche,Primanti Brothers Capp and Cheese Stuffed Sandwich,Grilled Chipotle Shrimp Tostadas,2664.275,371.6083333,95.75833333,75.88333333,25.4,4.5553239,TRUE,
12,"[5312, 81244, 64879]",6,F,Apple-Walnut and Brie Omelette for Two,Basic Regular Pizza Crust 101,Aubergine Bake,1514.925,200.725,62.175,38.35,14.025,4.557416687,TRUE,
13,"[39838, 44254, 42601]",18,M,Breakfast Tiramisu,Peanut Butter and Marshmallow Creme Sandwich,Thai-Inspired Steak and Pasta  Salad,2960.85,342.2,154.65,81.1,23.4,4.581203893,TRUE,
14,"[84351, 24192, 78520]",69,F,Banana-Walnut Breakfast Muesli,The Grouper Club Sandwich,Honeybee Fondant,2002.47,207.14,112.85,62.15,24.2,4.357513099,FALSE,
15,"[52390, 68946, 48946]",21,M,Egg and Bacon Breakfast Bake,Choc Chip Flapjacks,Chicken &amp; Cashew Stir-Fry,2625.1,325.4,126.625,70.95,26.175,4.785807473,TRUE,
16,"[62852, 76897, 82386]",42,M,Overnight Baked French Toast,Primanti Brothers Capp and Cheese Stuffed Sandwich,Grilled Chipotle Shrimp Tostadas,2656.8,372.925,94.53333333,75.55,25.375,4.550969064,TRUE,
17,"[14792, 24192, 2396]",64,F,Overnight Orange French Toast,The Grouper Club Sandwich,Poi Maoli (taro Poi),1689.025,121.075,113.375,62.425,24.35,4.281793841,FALSE,
18,"[78296, 68946, 26183]",22,F,Chocolate Chip Stollen,Choc Chip Flapjacks,Herbed Chicken-N-Veggie Packet Dinner,2449.54,319.3466667,113.2433333,62.13,25.28666667,4.697903493,TRUE,
19,"[16860, 44254, 41122]",17,F,Yummy Pancakes,Peanut Butter and Marshmallow Creme Sandwich,"Penne With Pancetta, Zucchini, Tomatoes  &amp; Goat Cheese",2619.5625,314.4375,132.7875,69.0125,22.975,4.513307247,TRUE,
20,"[52275, 68946, 4533]",47,M,Hungry Girl's Ginormous Oven-Baked Omelette(3ww Points),Choc Chip Flapjacks,Brown Sugar Salmon,2665.025,344.6,121.3,72.3,25.425,4.74497173,TRUE,
21,"[77011, 76897, 41126]",77,M,Healthier Zaar Carrot Cake,Primanti Brothers Capp and Cheese Stuffed Sandwich,5 Spice Steak,2548.3,369.7705882,84.39411765,73.65294118,24.66470588,4.306310535,FALSE,
22,"[71595, 76897, 82386]",27,M,Cherry Crowned Gems,Primanti Brothers Capp and Cheese Stuffed Sandwich,Grilled Chipotle Shrimp Tostadas,2624.954167,369.3708333,92.84583333,74.84166667,25.34583333,4.618880499,TRUE,
23,"[63079, 68946, 4533]",33,M,Glazed Apples and Sausage,Choc Chip Flapjacks,Brown Sugar Salmon,2692.45,344.2375,125.025,70.875,25.2375,4.785807558,TRUE,
24,"[68152, 68946, 46826]",69,M,Egg in a Basket,Choc Chip Flapjacks,"Gnocchi, Chicken, and Pesto",2611.3,327.55,123,71.5,25.6,4.597330978,TRUE,
25,"[13198, 47172, 6820]",59,F,French Toast (stuffed with Cream Cheese),Chicken Liver Cookies for Isabella Martini,Jamaican Pot Soup,2501.116667,332.9,102.6166667,61.51666667,24.43333333,4.514411397,TRUE,
26,"[30110, 68946, 37924]",58,F,Omelet Foo Yung,Choc Chip Flapjacks,Moroccan Lemon Chicken With Olives,2464.775,322.725,113.425,61.775,25.775,4.632334703,TRUE,
27,"[63232, 27065, 17797]",10,M,Pumpkin Pancakes for Baby and Me!,No I'm Not Pregnant!! Sandwich,Anne's Famous Irish Corned Beef,2151.608333,251.9333333,111.1083333,46.35833333,22.48333333,4.266645585,FALSE,
28,"[27647, 68946, 26183]",66,F,Mosaic Fruit Roll Ups,Choc Chip Flapjacks,Herbed Chicken-N-Veggie Packet Dinner,2443.25,318.125,113.0875,62.08125,25.275,4.448398949,FALSE,
29,"[20367, 47203, 68767]",10,M,Fluffy Vegan Pancakes,Chicken Nachos,Chicken &amp; Rice Hot Pot - Sha Bao Fan,2030.9,266.025,92.325,44.1,18.825,4.820301002,TRUE,
30,"[9818, 81244, 59810]",5,M,Farmer's Omelet II,Basic Regular Pizza Crust 101,Easy Gourmet Chicken for a Crowd,1304.038,188.7295,46.9655,29.739,10.491,4.216279447,FALSE,
31,"[29696, 44254, 31526]",38,M,Tofu Breakfast Burritos,Peanut Butter and Marshmallow Creme Sandwich,Roasted Squash &amp; Red Onion Pasta,2591.4,324.85,125.075,71.5,25.3,4.767632041,TRUE,
32,"[22820, 44254, 64721]",15,M,Sausage Link Roll Ups With Buttermilk Biscuits,Peanut Butter and Marshmallow Creme Sandwich,Thai Basil Noodle With Broccoli,2720.8,341.65,128.9625,71.85,19.3125,4.631445711,TRUE,
33,"[71973, 1031, 76964]",1,M,Ww Very Berry Coffee Cake,Bill's Sunday Night Pasta,Baked Sea Bass With Spring Vegetables and Fragrant Herbs,1014.7,116.5222222,51.45555556,22.31666667,6.944444444,4.586241488,TRUE,
34,"[81446, 27065, 49120]",25,F,Ham Hash Browns,No I'm Not Pregnant!! Sandwich,Crock Pot Mexican Chicken With Green Chile Rice,2328.85,274.45,114.075,61.8,24.9,4.619918569,TRUE,
35,"[79487, 68946, 20683]",46,F,"Mozzarella, Sausage, and Sun-Dried Tomato Bread Pudding",Choc Chip Flapjacks,Tuna-Gohan,2424.033333,317.5833333,111.75,60.6,25.51666667,4.644529679,TRUE,
36,"[75802, 44254, 69969]",53,M,Cinnamon Oatcakes,Peanut Butter and Marshmallow Creme Sandwich,Tropical Fruit Salsa Wraps (Raw Vegan),2546.05,321.65,120.05,73.3,24.5,4.705089699,TRUE,
37,"[57941, 76897, 1459]",26,M,Savory Spinach Egg Recipe Using Canned Spinach,Primanti Brothers Capp and Cheese Stuffed Sandwich,Quick pasta for one,2698.3,375.8666667,97.4,76.83333333,24.73333333,4.582980617,TRUE,
38,"[43664, 76897, 82386]",71,M,Crepes -  the Authentically French Final Word,Primanti Brothers Capp and Cheese Stuffed Sandwich,Grilled Chipotle Shrimp Tostadas,2644.491667,369.975,94.35833333,75.68333333,25.33333333,4.306005986,FALSE,
39,"[66203, 68946, 26183]",24,F,Delicious Crepes,Choc Chip Flapjacks,Herbed Chicken-N-Veggie Packet Dinner,2446.7,318.8666667,112.9555556,62.41111111,25.24444444,4.697608596,TRUE,
40,"[56664, 76897, 82386]",25,M,Sausage &amp; Cheese Scramble,Primanti Brothers Capp and Cheese Stuffed Sandwich,Grilled Chipotle Shrimp Tostadas,2639.575,368.8083333,94.14166667,76.06666667,25.33333333,4.606957237,TRUE,
41,"[84529, 68946, 4533]",37,M,Gluten Free Lemon Ricotta Pancakes,Choc Chip Flapjacks,Brown Sugar Salmon,2754.65,353.3,127.05,72.8,25.35,4.772393463,TRUE,
42,"[78941, 76897, 82386]",44,M,Chia Ocotea Baked Oatmeal,Primanti Brothers Capp and Cheese Stuffed Sandwich,Grilled Chipotle Shrimp Tostadas,2636.975,370.2833333,93.65833333,75.21666667,25.51666667,4.558512432,TRUE,
43,"[45887, 81244, 69470]",6,M,Good Eats' Individual Peach Upside-Down Cakes - Alton Brown,Basic Regular Pizza Crust 101,Guacamole Chicken Salad,1482.3,204.65,60.65,30.25,14.1,4.787151591,TRUE,
44,"[37454, 68946, 72406]",44,F,Gingerbread Pancakes W/ Fresh Blueberry Syrup,Choc Chip Flapjacks,Italian Coated Chicken With Chicken Creole Rice,2400.6,317.15,108.725,61.975,24.925,4.668550275,TRUE,
45,"[56672, 44254, 68640]",47,M,My Sausage Breakfast Burritos,Peanut Butter and Marshmallow Creme Sandwich,Quinoa Stuffed Butternut Squash,2715.916667,335.35,130.4666667,79.73333333,25.6,4.620252446,TRUE,
46,"[24626, 47203, 68277]",10,M,A Grown-Up's Jelly Sandwich,Chicken Nachos,Okinawa Soba,2037.25,274.225,92.45,41.425,18.55,4.855439461,TRUE,
47,"[12, 27065, 21092]",16,F,Scrambled Tofu on Toast,No I'm Not Pregnant!! Sandwich,Baked Lamb Chops With Pumpkin,2448.65,268.2,131.45,60.8,24.05,4.563124879,TRUE,
48,"[84494, 68946, 72406]",50,F,Neapolitan Waffles,Choc Chip Flapjacks,Italian Coated Chicken With Chicken Creole Rice,2504.175,333.075,112.625,63.325,25.65,4.573523249,TRUE,
49,"[70243, 76897, 35401]",41,M,Lower-Carb Apple Topping or Apple Dessert!!,Primanti Brothers Capp and Cheese Stuffed Sandwich,Tempura Fish Stir-Fry With Assorted Peppers,2580.8,372.975,86.65,73,24.375,4.546565472,TRUE,
50,"[34834, 68946, 72406]",78,F,Indian Cheese Dessert,Choc Chip Flapjacks,Italian Coated Chicken With Chicken Creole Rice,2402.916667,317.35,109.2833333,61.1,25.06666667,4.38378476,FALSE,
51,"[11869, 76897, 82386]",50,M,Sweet Potato Hash Browns Homemade,Primanti Brothers Capp and Cheese Stuffed Sandwich,Grilled Chipotle Shrimp Tostadas,2645.0125,369.975,94.7375,75.125,25.5,4.566415479,TRUE,
52,"[39705, 14620, 63888]",68,F,Honey-Raisin Oatmeal,Avocado and Smoked Turkey Wrap,Creamy Chicken Alfredo,2072.7,227.2,109.225,62.25,25.425,4.372389714,FALSE,
53,"[69027, 68946, 72406]",40,F,Breakfast Egg Casserole,Choc Chip Flapjacks,Italian Coated Chicken With Chicken Creole Rice,2429.616667,318.6,110.6166667,63.21666667,25.03333333,4.656872565,TRUE,
54,"[26132, 68946, 82674]",52,F,Artichoke and Ham Strata,Choc Chip Flapjacks,Company Pot Roast,2434.566667,320.65,112.125,60.28333333,25.91666667,4.628429235,TRUE,
55,"[76447, 68946, 72406]",19,F,Heart Healthy Apple Pancakes,Choc Chip Flapjacks,Italian Coated Chicken With Chicken Creole Rice,2434.425,326.85,108.225,61.725,25.525,4.664436944,TRUE,
56,"[84575, 68946, 50818]",56,F,Baked Eggs in Holes,Choc Chip Flapjacks,Sticky Chicken,2382.716667,315.4666667,107.2583333,62.15,25.275,4.649774445,TRUE,
57,"[17531, 68946, 72406]",75,F,Swiss Cheese Bacon Pie,Choc Chip Flapjacks,Italian Coated Chicken With Chicken Creole Rice,2492.55,318.3666667,117.7166667,63.26666667,25.08333333,4.295372288,FALSE,
58,"[41564, 68946, 41878]",48,F,Southern Egg Scrambled Breakfast,Choc Chip Flapjacks,"Cioppino, Calabrese",2429.8375,318.6,111.875,60.6,25.2375,4.656865935,TRUE,
59,"[11933, 12834, 14098]",2,F,Banana French Toast with Chocolate Drizzle,Banana and Honey Surprise,Garnished Rice With Green Tea (Ocha-Zuke),963.75,94.675,61.05,17.15,7.425,4.623187386,TRUE,
60,"[28272, 44254, 31949]",14,F,Sandwich,Peanut Butter and Marshmallow Creme Sandwich,Acorn Squash With Dried Fruit and Granola Compote,2509.85,314.15,121.4,68.65,19.9,4.49213255,FALSE,
61,"[60401, 68946, 72406]",68,F,Tomato and Feta Cheese Strata,Choc Chip Flapjacks,Italian Coated Chicken With Chicken Creole Rice,2424.85,318.1,110.75,62.6,25.475,4.441932053,FALSE,
62,"[60173, 44254, 1038]",61,M,Speedy Gingerbread Oatmeal,Peanut Butter and Marshmallow Creme Sandwich,Hearty Black Beans & Rice,2648.2,334.25,125.5,73.2,24.95,4.615832757,TRUE,
63,"[84574, 76897, 19572]",29,M,Green Peas Dhokla,Primanti Brothers Capp and Cheese Stuffed Sandwich,Italian Poutine,2728.55,381.3,98.525,75.075,25,4.600520602,TRUE,
64,"[44824, 76897, 19572]",48,M,Maple Nutty Granola,Primanti Brothers Capp and Cheese Stuffed Sandwich,Italian Poutine,2734.327778,380.8111111,99.51388889,75.08055556,24.96111111,4.556528145,TRUE,
65,"[18176, 68946, 20683]",25,F,Cheddar and Queso Fresco Vegetarian Breakfast Bake,Choc Chip Flapjacks,Tuna-Gohan,2425.8,318.05,111.725,60.9,25.7,4.682644435,TRUE,
66,"[7155, 76897, 82386]",69,M,Bacon and Potato Pie,Primanti Brothers Capp and Cheese Stuffed Sandwich,Grilled Chipotle Shrimp Tostadas,2687.9375,370.175,98.125,77.775,25.4875,4.392449185,FALSE,
67,"[27498, 68946, 26183]",59,F,Maple-Pecan Granola,Choc Chip Flapjacks,Herbed Chicken-N-Veggie Packet Dinner,2444.99375,318.8625,112.94375,62.125,25.35,4.658330454,TRUE,
68,"[67981, 1031, 2396]",5,F,Spinach Raspberry Breakfast Shake,Bill's Sunday Night Pasta,Poi Maoli (taro Poi),1060.975,140.35,45.175,24.1,9.65,4.608147655,TRUE,
69,"[32832, 68946, 4533]",59,M,My Own Egg Casserole,Choc Chip Flapjacks,Brown Sugar Salmon,2687.04,343.71,124.65,70.87,25.09,4.789513446,TRUE,
70,"[81112, 68946, 4533]",29,M,The Bomb Sausage Egg Casserole With Secret Party Ingredients,Choc Chip Flapjacks,Brown Sugar Salmon,2709.083333,343.2833333,126.5666667,72.43333333,25.08333333,4.824804167,TRUE,
71,"[65633, 44254, 31526]",25,M,Potato Pancakes,Peanut Butter and Marshmallow Creme Sandwich,Roasted Squash &amp; Red Onion Pasta,2681.175,337.6,129.025,71.6,25.55,4.816693668,TRUE,
72,"[30377, 41883, 46563]",3,F,Kittencal's Crispy Potato and Green Onion Pancakes (Latkes),Greek Goddess Wrap/Salad,Lemony Ham Slice,939.7625,120.25,44.4,21.275,11.05,4.511802742,TRUE,
73,"[67712, 8216, 37270]",2,M,Rainbow Style Chawanmushi Steamed Eggs,Solo Green Beans and Chicken With Pasta,Peanutty Stir-Fry,933.55,101.025,50.8,22.075,9.025,4.404395005,FALSE,
74,"[47520, 68946, 4533]",35,M,Italian Sausage Cheese Strata Recipe,Choc Chip Flapjacks,Brown Sugar Salmon,2694.75,344.94,124.57,71.74,25.19,4.77644428,TRUE,
75,"[72358, 27065, 52996]",17,F,"Croissants With Scrambled Egg, Ham, and Grilled Tomatoes",No I'm Not Pregnant!! Sandwich,Fish in the Sea,2528.45,303.25,125,61.15,22.85,4.615811402,TRUE,
76,"[16790, 68946, 20683]",49,F,Eggnog Waffles,Choc Chip Flapjacks,Tuna-Gohan,2537.5,335.75,116.2333333,60.48333333,25.86666667,4.503419614,TRUE,
77,"[84216, 76897, 35401]",32,M,Kidney Beans on Rye Caraway,Primanti Brothers Capp and Cheese Stuffed Sandwich,Tempura Fish Stir-Fry With Assorted Peppers,2589.833333,370.9583333,87.8,74.33333333,24.725,4.552502943,TRUE,
78,"[80886, 44254, 31526]",53,M,Tomatoes Stuffed With Scrambled Eggs and Smoked Salmon,Peanut Butter and Marshmallow Creme Sandwich,Roasted Squash &amp; Red Onion Pasta,2568.425,323.875,122.25,72.65,25.175,4.741216071,TRUE,
79,"[5423, 68946, 40332]",23,F,Egg Whites and Whole Wheat Toast,Choc Chip Flapjacks,My Cheesy Chicken,2437.175,319.075,111.675,61.95,25.05,4.722422938,TRUE,
80,"[182, 76897, 82386]",37,M,Cinnamon Apple Waffles,Primanti Brothers Capp and Cheese Stuffed Sandwich,Grilled Chipotle Shrimp Tostadas,2634.405,370.785,93.005,75.35,25.37,4.557099451,TRUE,
81,"[33771, 68946, 72406]",31,F,Instead of Eggs Benedict,Choc Chip Flapjacks,Italian Coated Chicken With Chicken Creole Rice,2415.125,316.75,110,61.575,24.9,4.663472975,TRUE,
82,"[16083, 44254, 64721]",13,M,Eggs Florentine,Peanut Butter and Marshmallow Creme Sandwich,Thai Basil Noodle With Broccoli,2768.325,347.625,131.5,72.65,20.25,4.656982964,TRUE,
83,"[16998, 44254, 64721]",14,M,Steel Cut Oatmeal,Peanut Butter and Marshmallow Creme Sandwich,Thai Basil Noodle With Broccoli,2708.75,346,126.125,71.15,20.25,4.658724259,TRUE,
84,"[64214, 68946, 72406]",43,F,Skillet Corn Scramble,Choc Chip Flapjacks,Italian Coated Chicken With Chicken Creole Rice,2409,317.76,109.59,61.6,25.2,4.662627534,TRUE,
85,"[53447, 24192, 69969]",70,F,Crunchy and Light Waffles for Two,The Grouper Club Sandwich,Tropical Fruit Salsa Wraps (Raw Vegan),1682.3,127.65,110.8,62.4,25.45,4.268860075,FALSE,
86,"[65575, 68946, 72406]",62,F,Eggnog Pancakes,Choc Chip Flapjacks,Italian Coated Chicken With Chicken Creole Rice,2426.5,322.65,108.975,62.025,25.1,4.459426355,FALSE,
87,"[55558, 8216, 31100]",3,F,Orange Breakfast Couscous,Solo Green Beans and Chicken With Pasta,Loaded Breakfast Grits,1018.6,134.95,45.8,20.8,10.5,4.724021559,TRUE,
88,"[71259, 76897, 19572]",34,M,Apple Bran Muffins,Primanti Brothers Capp and Cheese Stuffed Sandwich,Italian Poutine,2712.933333,379.5666667,97.90833333,74.69166667,25.11666667,4.558564097,TRUE,
89,"[68108, 68946, 72406]",38,F,Tex-Mex Breakfast Casserole,Choc Chip Flapjacks,Italian Coated Chicken With Chicken Creole Rice,2409,316.4,109.7375,62.275,25.025,4.668737025,TRUE,
90,"[41109, 68946, 72406]",70,F,Simple Simon Cake,Choc Chip Flapjacks,Italian Coated Chicken With Chicken Creole Rice,2412.4625,321.9375,108.8,60.075,25.1625,4.367151994,FALSE,
91,"[43067, 44254, 3568]",22,M,Orange Date Banana Oatmeal,Peanut Butter and Marshmallow Creme Sandwich,Thai-Style Potato and Spinach Soup,2622.7,333.1,125.2,71.65,25.15,4.829039781,TRUE,
92,"[21505, 76897, 19572]",24,M,Good Morning Pizza,Primanti Brothers Capp and Cheese Stuffed Sandwich,Italian Poutine,2731.2,379.2125,99.5625,75.525,24.675,4.593897793,TRUE,
93,"[17084, 47203, 4305]",23,F,Polish Breakfast Sandwich,Chicken Nachos,Couscous Veggie Surprise,2335.2,287.6,109.4,61.3,24.7,4.636714907,TRUE,
94,"[48906, 68946, 72406]",47,F,Sun-Dried Tomato &amp; Roasted Pepper Frittata - Vegan,Choc Chip Flapjacks,Italian Coated Chicken With Chicken Creole Rice,2415.1,318.25,109.6,63.525,26.05,4.608831365,TRUE,
95,"[1242, 76897, 35401]",67,M,"Pinwheel Sandwich - Beautiful in colour, yummy in taste!",Primanti Brothers Capp and Cheese Stuffed Sandwich,Tempura Fish Stir-Fry With Assorted Peppers,2654.2,371.825,94.4,75.3,24.425,4.406000419,FALSE,
96,"[65880, 76897, 19572]",41,M,Muesli,Primanti Brothers Capp and Cheese Stuffed Sandwich,Italian Poutine,2730.475,379.825,99.54166667,75.1,25.01666667,4.561624627,TRUE,
97,"[80402, 76897, 35401]",49,M,Chakchouka,Primanti Brothers Capp and Cheese Stuffed Sandwich,Tempura Fish Stir-Fry With Assorted Peppers,2607.6,369.05,90.475,75.025,24.375,4.547489634,TRUE,
98,"[39571, 68946, 12275]",49,M,The Best Bacon Sarnie,Choc Chip Flapjacks,spicy coconut mussels,2694.3,343.7,125.2,71.1,26.65,4.728805756,TRUE,
99,"[28701, 60667, 83804]",60,F,Stuffed Pastries from the Marches,Carlos Ramos  El Uruguayo &quot;chivito Sandwich&quot; from Urug,French Fries and Gravy,1882.291667,163.9916667,112.3416667,62.03333333,24.625,4.321577402,FALSE,
